,BuildingCount,BuildingCoveragePct,AvgBuildingFootprint,BuildingDensity,RoadLength,RoadIntersectionCount,DistToMajorRoad,RoadDensity,RoadIntersectionDensity,TreeCount,TreeDensity,GreenSpacePct,LandUse_ResidentialPct,LandUse_CommercialPct,LandUse_IndustrialPct,LandUse_InstitutionalPct,LandUse_AgriculturePct,LandUse_GreenPct,LandUse_RailwayPct,LandUse_OtherPct,DistToPark,DistToWater,DistToHospital,DistToSchool,BusStopCount,DistToBusStop,BusStopDensity,HospitalCount,SchoolCount,MeanNDVI,MaxNDVI,MinNDVI,GreenCover,VegetationDensity,LandCover_WaterPct,LandCover_VegetationPct,LandCover_BuiltupPct,LandCover_BareLandPct,MeanLST,MaxLST,MinLST,MeanElevation,MeanSlope,Aspect,MeanAQI,MeanPM25,MeanPM10,MeanNO2,MeanSO2,MeanCO,MeanO3,Temperature,Temperature_7d,Humidity,Humidity_7d,WindSpeed,WindSpeed_7d,Pressure,Pressure_7d,SolarRadiation,SolarRadiation_7d,Rainfall,Rainfall_7d,HeatIndex,HeatIndex_7d,Temperature_MonthlyMean,Humidity_MonthlyMean,WindSpeed_MonthlyMean,Pressure_MonthlyMean,SolarRadiation_MonthlyMean,Rainfall_MonthlyMean,HeatIndex_MonthlyMean,ImperviousSurfaceRatio,GreenToBuiltRatio,CoolingDistanceIndex,RoadExposureIndex,VegetationCoolingIndex,TerrainExposureIndex,HeatVulnerabilityIndex,Target_LST
BuildingCount,1.0,0.836716,0.093677,1.0,0.370556,0.30453,-0.159399,0.370525,0.30453,0.014798,0.014798,0.001779,0.056181,0.007554,-0.00051,0.028173,-0.001256,-0.021167,0.015332,-0.001461,-0.23147,-0.082757,-0.208744,-0.229581,0.0045,-0.193873,0.0045,0.03061,0.041741,-0.133356,-0.000939,-0.149202,-0.114527,-0.14462,-0.002668,-0.114265,0.186032,0.003177,0.051585,0.040244,0.062721,0.195839,0.080312,-0.040896,0.046665,0.129334,0.06197,0.204216,0.073092,0.059599,0.171786,,,,,,,,,,,,,,,,,,,,,,0.117759,-0.10216,0.155691,-0.16064,-0.117837,0.080434,0.167955,0.051585
BuildingCoveragePct,0.836716,1.0,0.382221,0.836716,0.366411,0.284693,-0.176675,0.366379,0.284693,0.019161,0.019161,-0.003282,0.043968,0.093165,0.012017,0.033899,-0.001261,-0.024508,0.081152,-0.001621,-0.255786,-0.092726,-0.230503,-0.253399,0.015074,-0.216339,0.015074,0.054872,0.140019,-0.146758,0.004379,-0.172592,-0.120316,-0.16246,0.023837,-0.120031,0.194677,-0.006131,0.066531,0.056348,0.075925,0.217389,0.10392,-0.042095,0.063327,0.150152,0.077265,0.237964,0.089284,0.074028,0.191018,,,,,,,,,,,,,,,,,,,,,,0.115427,-0.116036,0.165975,-0.197577,-0.127776,0.104046,0.152183,0.066531
AvgBuildingFootprint,0.093677,0.382221,1.0,0.093677,0.154064,0.111123,-0.089593,0.15405,0.111123,0.009746,0.009746,0.002878,0.010036,0.285841,0.011408,0.027977,-0.000816,-0.009292,0.117757,-0.000824,-0.126698,-0.040748,-0.110878,-0.126227,0.026303,-0.110534,0.026303,0.058539,0.256403,-0.053214,0.018366,-0.087287,-0.035184,-0.063734,0.037522,-0.035063,0.067166,-0.020921,0.038903,0.03742,0.039281,0.111714,0.067841,-0.019206,0.03376,0.077659,0.046468,0.111214,0.053657,0.034274,0.096628,,,,,,,,,,,,,,,,,,,,,,0.024301,-0.056798,0.077202,-0.114358,-0.044257,0.067897,0.018933,0.038903
BuildingDensity,1.0,0.836716,0.093677,1.0,0.370556,0.30453,-0.159399,0.370525,0.30453,0.014798,0.014798,0.001779,0.056181,0.007554,-0.00051,0.028173,-0.001256,-0.021167,0.015332,-0.001461,-0.23147,-0.082757,-0.208744,-0.229581,0.0045,-0.193873,0.0045,0.03061,0.041741,-0.133356,-0.000939,-0.149202,-0.114527,-0.14462,-0.002668,-0.114265,0.186032,0.003177,0.051585,0.040244,0.062721,0.195839,0.080312,-0.040896,0.046665,0.129334,0.06197,0.204216,0.073092,0.059599,0.171786,,,,,,,,,,,,,,,,,,,,,,0.117759,-0.10216,0.155691,-0.16064,-0.117837,0.080434,0.167955,0.051585
RoadLength,0.370556,0.366411,0.154064,0.370556,1.0,0.836005,-0.39053,0.999954,0.836005,0.024168,0.024168,-0.004075,0.110749,0.074239,0.05932,0.054849,0.00659,-0.050118,0.00369,-0.002193,-0.505998,-0.226354,-0.450081,-0.486775,0.067661,-0.486149,0.067661,0.053976,0.03837,-0.21286,0.085818,-0.316655,-0.171679,-0.235115,0.007495,-0.17111,0.298223,-0.013754,0.057462,0.041604,0.072103,0.302596,0.149778,-0.032724,0.152553,0.376444,0.255055,0.362136,0.29998,0.097611,0.414614,,,,,,,,,,,,,,,,,,,,,,0.17322,-0.226713,0.28216,-0.34069,-0.200867,0.150115,0.150523,0.057462
RoadIntersectionCount,0.30453,0.284693,0.111123,0.30453,0.836005,1.0,-0.274383,0.835938,1.0,0.016299,0.016299,-0.008933,0.097984,0.053003,0.022512,0.028804,0.009566,-0.036264,-0.003052,-0.002555,-0.368994,-0.147613,-0.335278,-0.358979,0.072192,-0.345589,0.072192,0.044663,0.026509,-0.197766,0.025945,-0.240216,-0.167104,-0.214143,0.001778,-0.16668,0.26608,0.006615,0.055845,0.040515,0.069964,0.241339,0.096663,-0.024211,0.11487,0.273882,0.194775,0.257088,0.226152,0.073249,0.305403,,,,,,,,,,,,,,,,,,,,,,0.170139,-0.177337,0.186867,-0.171248,-0.181317,0.0969,0.163455,0.055845
DistToMajorRoad,-0.159399,-0.176675,-0.089593,-0.159399,-0.39053,-0.274383,1.0,-0.390542,-0.274383,-0.011428,-0.011428,-0.115922,-0.051992,-0.042793,-0.057459,-0.039878,-0.007481,-0.086779,-0.036357,-0.005787,0.890451,0.165706,0.602922,0.878411,-0.020504,0.836361,-0.020504,-0.022574,-0.024906,0.016802,-0.142516,0.134923,-0.027665,0.043219,-0.065309,-0.028642,-0.060887,0.102743,0.146556,0.153125,0.135968,-0.387168,-0.068515,0.032616,0.071905,-0.52182,-0.275353,-0.231757,-0.537945,0.299684,-0.816108,,,,,,,,,,,,,,,,,,,,,,0.047119,0.056723,-0.301076,0.766966,-0.007185,-0.069904,0.150442,0.146556
RoadDensity,0.370525,0.366379,0.15405,0.370525,0.999954,0.835938,-0.390542,1.0,0.835938,0.024166,0.024166,-0.004082,0.11074,0.074233,0.059313,0.054844,0.006589,-0.05012,0.003688,-0.002194,-0.505942,-0.226339,-0.449999,-0.486721,0.067656,-0.486142,0.067656,0.053971,0.038366,-0.212827,0.085824,-0.316658,-0.171633,-0.235088,0.007485,-0.171065,0.298181,-0.013775,0.057448,0.041585,0.072094,0.302561,0.149746,-0.032697,0.152564,0.376422,0.255027,0.362111,0.299951,0.097601,0.414595,,,,,,,,,,,,,,,,,,,,,,0.173177,-0.226725,0.282114,-0.340723,-0.200832,0.150084,0.15048,0.057448
RoadIntersectionDensity,0.30453,0.284693,0.111123,0.30453,0.836005,1.0,-0.274383,0.835938,1.0,0.016299,0.016299,-0.008933,0.097984,0.053003,0.022512,0.028804,0.009566,-0.036264,-0.003052,-0.002555,-0.368994,-0.147613,-0.335278,-0.358979,0.072192,-0.345589,0.072192,0.044663,0.026509,-0.197766,0.025945,-0.240216,-0.167104,-0.214143,0.001778,-0.16668,0.26608,0.006615,0.055845,0.040515,0.069964,0.241339,0.096663,-0.024211,0.11487,0.273882,0.194775,0.257088,0.226152,0.073249,0.305403,,,,,,,,,,,,,,,,,,,,,,0.170139,-0.177337,0.186867,-0.171248,-0.181317,0.0969,0.163455,0.055845
TreeCount,0.014798,0.019161,0.009746,0.014798,0.024168,0.016299,-0.011428,0.024166,0.016299,1.0,1.0,-0.002185,0.019365,-1e-05,-0.000856,-0.000617,-0.000117,-0.001733,-0.000562,-0.0001,-0.010951,-0.009359,-0.006576,-0.008905,-0.000296,-0.019463,-0.000296,0.020507,0.007958,-0.006389,0.005936,-0.012408,-0.004707,-0.007442,0.002547,-0.004682,0.007028,-0.000412,-0.007673,-0.007763,-0.007008,0.001754,0.004455,0.001999,0.008278,0.009089,0.002907,0.012487,0.003702,0.002971,0.009444,,,,,,,,,,,,,,,,,,,,,,0.00401,-0.00807,0.016814,-0.018252,-0.007113,0.004464,0.003498,-0.007673
TreeDensity,0.014798,0.019161,0.009746,0.014798,0.024168,0.016299,-0.011428,0.024166,0.016299,1.0,1.0,-0.002185,0.019365,-1e-05,-0.000856,-0.000617,-0.000117,-0.001733,-0.000562,-0.0001,-0.010951,-0.009359,-0.006576,-0.008905,-0.000296,-0.019463,-0.000296,0.020507,0.007958,-0.006389,0.005936,-0.012408,-0.004707,-0.007442,0.002547,-0.004682,0.007028,-0.000412,-0.007673,-0.007763,-0.007008,0.001754,0.004455,0.001999,0.008278,0.009089,0.002907,0.012487,0.003702,0.002971,0.009444,,,,,,,,,,,,,,,,,,,,,,0.00401,-0.00807,0.016814,-0.018252,-0.007113,0.004464,0.003498,-0.007673
GreenSpacePct,0.001779,-0.003282,0.002878,0.001779,-0.004075,-0.008933,-0.115922,-0.004082,-0.008933,-0.002185,-0.002185,1.0,0.001183,0.015068,0.004739,-0.006905,0.00388,0.813152,-0.007276,-0.00131,-0.19363,-0.065773,-0.159202,-0.176057,0.001571,-0.131448,0.001571,0.001173,-0.004086,0.194257,0.091248,0.23171,0.200709,0.197797,-0.028112,0.200722,-0.085274,-0.172877,-0.202812,-0.21182,-0.189126,0.369317,0.058916,0.003812,-0.080845,0.043236,-0.005638,0.033036,0.010918,-0.041812,0.156073,,,,,,,,,,,,,,,,,,,,,,-0.195467,0.220097,0.601975,-0.119333,0.2375,0.059032,-0.469517,-0.202812
LandUse_ResidentialPct,0.056181,0.043968,0.010036,0.056181,0.110749,0.097984,-0.051992,0.11074,0.097984,0.019365,0.019365,0.001183,1.0,-0.002951,-0.004125,-0.001842,0.000219,-0.003275,-0.002696,-0.000484,-0.069419,-0.000933,-0.086835,-0.082918,0.000957,-0.081269,0.000957,0.00971,0.005526,-0.013211,0.013383,-0.035317,-0.009726,-0.013109,-0.005724,-0.009661,0.016985,0.001534,-0.016801,-0.021703,-0.01189,0.07844,0.029529,-0.005359,0.040793,0.050663,0.039135,0.000823,0.048372,-0.010616,0.07443,,,,,,,,,,,,,,,,,,,,,,0.011778,-0.025758,0.023609,-0.049393,-0.015708,0.029568,0.008706,-0.016801
LandUse_CommercialPct,0.007554,0.093165,0.285841,0.007554,0.074239,0.053003,-0.042793,0.074233,0.053003,-1e-05,-1e-05,0.015068,-0.002951,1.0,-0.002834,-0.001685,-0.000446,-0.000541,-0.002146,-0.000383,-0.061387,-0.010221,-0.058597,-0.056732,0.058636,-0.058196,0.058636,0.007567,-0.000322,-0.017226,0.013793,-0.045806,-0.010006,-0.022149,0.014932,-0.009956,0.027613,-0.013906,0.00909,0.008449,0.009313,0.083484,0.037562,0.005983,0.015709,0.043613,0.029921,0.065423,0.032743,0.024891,0.049051,,,,,,,,,,,,,,,,,,,,,,0.005612,-0.024557,0.05146,-0.064288,-0.014554,0.037585,-0.00467,0.00909
LandUse_IndustrialPct,-0.00051,0.012017,0.011408,-0.00051,0.05932,0.022512,-0.057459,0.059313,0.022512,-0.000856,-0.000856,0.004739,-0.004125,-0.002834,1.0,-0.003172,-0.000598,-0.008862,-0.002249,-0.000513,-0.082197,-0.036968,-0.046472,-0.072458,-0.001513,-0.06971,-0.001513,-0.001712,-0.001941,-0.042891,0.002485,-0.052076,-0.035422,-0.045365,0.029736,-0.035328,0.036824,0.004984,0.089254,0.090856,0.08599,0.001496,0.010277,-0.011023,0.042953,0.044839,0.017926,0.08964,0.020398,0.02931,0.049793,,,,,,,,,,,,,,,,,,,,,,0.026905,-0.036635,0.04929,-0.105245,-0.037406,0.01033,0.012258,0.089254
LandUse_InstitutionalPct,0.028173,0.033899,0.027977,0.028173,0.054849,0.028804,-0.039878,0.054844,0.028804,-0.000617,-0.000617,-0.006905,-0.001842,-0.001685,-0.003172,1.0,-0.000433,-0.006421,-0.002084,0.080634,-0.059476,-0.021456,-0.074291,-0.061002,0.008369,-0.069817,0.008369,0.034814,0.038861,0.027317,0.031167,-0.001004,0.030798,0.026029,-0.006223,0.03082,-0.018411,-0.021774,-0.011243,-0.012024,-0.010942,0.079583,0.033757,-0.002447,0.032926,0.049629,0.018415,0.034866,0.02255,0.006879,0.058152,,,,,,,,,,,,,,,,,,,,,,-0.029367,0.006139,0.029255,-0.051377,0.026208,0.03378,-0.028629,-0.011243
LandUse_AgriculturePct,-0.001256,-0.001261,-0.000816,-0.001256,0.00659,0.009566,-0.007481,0.006589,0.009566,-0.000117,-0.000117,0.00388,0.000219,-0.000446,-0.000598,-0.000433,1.0,-0.000997,-0.000393,-7e-05,-0.010728,-0.003976,-0.012638,-0.010964,-0.000207,-0.013388,-0.000207,-0.000234,-0.000265,-0.002877,0.002603,-0.004052,-0.00364,-0.002083,-0.001581,-0.00363,0.002909,0.002924,-0.000863,-0.0009,-0.001122,0.012946,0.004707,-0.002133,0.006101,0.009306,0.003118,0.008589,0.003741,0.002263,0.010487,,,,,,,,,,,,,,,,,,,,,,0.004214,-0.004504,0.006117,-0.01027,-0.003969,0.004713,0.001074,-0.000863
LandUse_GreenPct,-0.021167,-0.024508,-0.009292,-0.021167,-0.050118,-0.036264,-0.086779,-0.05012,-0.036264,-0.001733,-0.001733,0.813152,-0.003275,-0.000541,-0.008862,-0.006421,-0.000997,1.0,-0.005823,-0.001039,-0.137553,-0.028634,-0.103003,-0.130869,-0.003062,-0.080254,-0.003062,-0.003466,-0.002862,0.180062,0.067991,0.239748,0.188462,0.18673,-0.02726,0.188452,-0.087101,-0.156773,-0.191582,-0.202362,-0.176592,0.345052,0.023502,0.007913,-0.132207,-0.007339,-0.03795,-0.002764,-0.024816,-0.057296,0.11309,,,,,,,,,,,,,,,,,,,,,,-0.183306,0.223551,0.400673,-0.080393,0.223121,0.023607,-0.403091,-0.191582
LandUse_RailwayPct,0.015332,0.081152,0.117757,0.015332,0.00369,-0.003052,-0.036357,0.003688,-0.003052,-0.000562,-0.000562,-0.007276,-0.002696,-0.002146,-0.002249,-0.002084,-0.000393,-0.005823,1.0,-0.000337,-0.050336,-0.019837,-0.039092,-0.054298,-0.000994,-0.039098,-0.000994,-0.001125,-0.001275,-0.032167,0.001019,-0.036749,-0.023915,-0.038662,0.014347,-0.023845,0.042544,-0.007743,0.051369,0.05265,0.049369,0.01196,0.024533,-0.018541,0.021658,0.027322,0.012492,0.056502,0.014318,0.018181,0.033617,,,,,,,,,,,,,,,,,,,,,,0.01994,-0.025854,0.01204,-0.070438,-0.02599,0.024558,0.014362,0.051369
LandUse_OtherPct,-0.001461,-0.001621,-0.000824,-0.001461,-0.002193,-0.002555,-0.005787,-0.002194,-0.002555,-0.0001,-0.0001,-0.00131,-0.000484,-0.000383,-0.000513,0.080634,-7e-05,-0.001039,-0.000337,1.0,-0.008269,-0.002494,-0.011325,-0.009737,-0.000177,-0.010902,-0.000177,-0.000201,-0.000227,0.003668,0.01043,-0.006186,0.003694,0.00221,0.005676,0.003698,-0.001376,-0.005657,-0.002804,-0.00148,-0.005697,0.008544,0.009648,-0.003008,0.005131,0.007825,0.002311,0.007414,0.002823,0.001877,0.00915,,,,,,,,,,,,,,,,,,,,,,-0.00552,-0.004839,-0.000792,-0.008765,0.003518,0.00965,-0.00554,-0.002804
DistToPark,-0.23147,-0.255786,-0.126698,-0.23147,-0.505998,-0.368994,0.890451,-0.505942,-0.368994,-0.010951,-0.010951,-0.19363,-0.069419,-0.061387,-0.082197,-0.059476,-0.010728,-0.137553,-0.050336,-0.008269,1.0,0.222627,0.812054,0.932888,-0.02807,0.857256,-0.02807,-0.031683,-0.035467,0.04017,-0.154881,0.16684,-0.003942,0.061942,-0.053276,-0.004959,-0.106169,0.102817,0.140402,0.14891,0.12812,-0.418221,-0.085059,0.027322,-0.088598,-0.640201,-0.367839,-0.35818,-0.597912,0.120939,-0.826487,,,,,,,,,,,,,,,,,,,,,,0.019155,0.076914,-0.388676,0.714906,0.015982,-0.086144,0.13521,0.140402
DistToWater,-0.082757,-0.092726,-0.040748,-0.082757,-0.226354,-0.147613,0.165706,-0.226339,-0.147613,-0.009359,-0.009359,-0.065773,-0.000933,-0.010221,-0.036968,-0.021456,-0.003976,-0.028634,-0.019837,-0.002494,0.222627,1.0,0.297352,0.036702,-0.010613,0.408005,-0.010613,-0.009052,-0.003546,0.154405,-0.011649,0.271258,0.125659,0.136816,-0.114688,0.124765,-0.086783,-0.048105,-0.101857,-0.122488,-0.079388,0.329739,-0.003173,-0.071772,-0.088967,-0.533057,-0.167624,-0.502003,-0.195665,-0.510121,-0.056277,,,,,,,,,,,,,,,,,,,,,,-0.093416,0.213535,-0.59886,0.336203,0.156927,-0.003314,-0.036321,-0.101857
DistToHospital,-0.208744,-0.230503,-0.110878,-0.208744,-0.450081,-0.335278,0.602922,-0.449999,-0.335278,-0.006576,-0.006576,-0.159202,-0.086835,-0.058597,-0.046472,-0.074291,-0.012638,-0.103003,-0.039092,-0.011325,0.812054,0.297352,1.0,0.669376,-0.0304,0.792837,-0.0304,-0.043595,-0.026782,0.110969,-0.068554,0.206641,0.08579,0.11411,-0.039095,0.084841,-0.129551,0.004468,0.099526,0.109478,0.087822,-0.293853,-0.050553,0.001304,-0.431647,-0.801994,-0.43855,-0.312786,-0.629526,-0.15417,-0.689611,,,,,,,,,,,,,,,,,,,,,,-0.076492,0.138632,-0.320155,0.503819,0.102349,-0.05181,0.018566,0.099526
DistToSchool,-0.229581,-0.253399,-0.126227,-0.229581,-0.486775,-0.358979,0.878411,-0.486721,-0.358979,-0.008905,-0.008905,-0.176057,-0.082918,-0.056732,-0.072458,-0.061002,-0.010964,-0.130869,-0.054298,-0.009737,0.932888,0.036702,0.669376,1.0,-0.026483,0.808355,-0.026483,-0.033347,-0.044148,0.051233,-0.117295,0.143724,0.006785,0.078455,-0.03553,0.005938,-0.128504,0.099926,0.111166,0.125311,0.093554,-0.549074,-0.093279,0.050672,-0.012095,-0.469969,-0.425801,-0.341289,-0.521181,0.220693,-0.89459,,,,,,,,,,,,,,,,,,,,,,0.002946,0.06118,-0.290262,0.695087,0.019714,-0.094193,0.113459,0.111166
BusStopCount,0.0045,0.015074,0.026303,0.0045,0.067661,0.072192,-0.020504,0.067656,0.072192,-0.000296,-0.000296,0.001571,0.000957,0.058636,-0.001513,0.008369,-0.000207,-0.003062,-0.000994,-0.000177,-0.02807,-0.010613,-0.0304,-0.026483,1.0,-0.036516,1.0,0.021518,-0.000671,-0.013897,0.006371,-0.02037,-0.00986,-0.016713,0.006955,-0.009833,0.017259,-0.003357,0.008465,0.007554,0.008594,0.02496,0.008262,0.005722,0.018975,0.029156,0.019894,0.029081,0.021618,0.012369,0.026449,,,,,,,,,,,,,,,,,,,,,,0.007911,-0.01256,0.02139,-0.025174,-0.011643,0.008277,0.004917,0.008465
DistToBusStop,-0.193873,-0.216339,-0.110534,-0.193873,-0.486149,-0.345589,0.836361,-0.486142,-0.345589,-0.019463,-0.019463,-0.131448,-0.081269,-0.058196,-0.06971,-0.069817,-0.013388,-0.080254,-0.039098,-0.010902,0.857256,0.408005,0.792837,0.808355,-0.036516,1.0,-0.036516,-0.035891,-0.022294,0.12747,-0.07317,0.24557,0.082828,0.142865,-0.064087,0.081845,-0.15334,0.035349,0.075533,0.085824,0.063365,-0.29228,-0.032222,0.013866,-0.229261,-0.769082,-0.512077,-0.477688,-0.62224,-0.036349,-0.855688,,,,,,,,,,,,,,,,,,,,,,-0.065727,0.164459,-0.404739,0.72832,0.106846,-0.033532,0.046138,0.075533
BusStopDensity,0.0045,0.015074,0.026303,0.0045,0.067661,0.072192,-0.020504,0.067656,0.072192,-0.000296,-0.000296,0.001571,0.000957,0.058636,-0.001513,0.008369,-0.000207,-0.003062,-0.000994,-0.000177,-0.02807,-0.010613,-0.0304,-0.026483,1.0,-0.036516,1.0,0.021518,-0.000671,-0.013897,0.006371,-0.02037,-0.00986,-0.016713,0.006955,-0.009833,0.017259,-0.003357,0.008465,0.007554,0.008594,0.02496,0.008262,0.005722,0.018975,0.029156,0.019894,0.029081,0.021618,0.012369,0.026449,,,,,,,,,,,,,,,,,,,,,,0.007911,-0.01256,0.02139,-0.025174,-0.011643,0.008277,0.004917,0.008465
HospitalCount,0.03061,0.054872,0.058539,0.03061,0.053976,0.044663,-0.022574,0.053971,0.044663,0.020507,0.020507,0.001173,0.00971,0.007567,-0.001712,0.034814,-0.000234,-0.003466,-0.001125,-0.000201,-0.031683,-0.009052,-0.043595,-0.033347,0.021518,-0.035891,0.021518,1.0,0.011751,-0.012354,0.007839,-0.021499,-0.008483,-0.013908,0.007661,-0.008455,0.016574,-0.004804,-0.002276,-0.004166,-0.000824,0.03053,0.009686,0.006546,0.021217,0.029883,0.02165,0.020166,0.024497,0.007297,0.030845,,,,,,,,,,,,,,,,,,,,,,0.006293,-0.016144,0.022595,-0.028872,-0.011114,0.009704,0.005187,-0.002276
SchoolCount,0.041741,0.140019,0.256403,0.041741,0.03837,0.026509,-0.024906,0.038366,0.026509,0.007958,0.007958,-0.004086,0.005526,-0.000322,-0.001941,0.038861,-0.000265,-0.002862,-0.001275,-0.000227,-0.035467,-0.003546,-0.026782,-0.044148,-0.000671,-0.022294,-0.000671,0.011751,1.0,-0.013415,0.004742,-0.022736,-0.010994,-0.014281,0.002177,-0.010948,0.017173,-9.3e-05,0.010976,0.00958,0.012009,0.032676,0.013159,-0.008587,-0.009899,0.008443,0.004317,0.010032,0.007242,-0.0033,0.024604,,,,,,,,,,,,,,,,,,,,,,0.010551,-0.015252,0.015314,-0.035203,-0.013418,0.013178,0.010002,0.010976
MeanNDVI,-0.133356,-0.146758,-0.053214,-0.133356,-0.21286,-0.197766,0.016802,-0.212827,-0.197766,-0.006389,-0.006389,0.194257,-0.013211,-0.017226,-0.042891,0.027317,-0.002877,0.180062,-0.032167,0.003668,0.04017,0.154405,0.110969,0.051233,-0.013897,0.12747,-0.013897,-0.012354,-0.013415,1.0,0.736811,0.714299,0.917453,0.971921,-0.405236,0.916855,-0.697593,-0.456277,-0.547,-0.54743,-0.526628,0.195412,0.266827,-0.006938,-0.101791,-0.161465,-0.223185,-0.198398,-0.109172,-0.263052,-0.076265,,,,,,,,,,,,,,,,,,,,,,-0.808351,0.685797,-0.011256,0.024812,0.927871,0.26631,-0.819499,-0.547
MaxNDVI,-0.000939,0.004379,0.018366,-0.000939,0.085818,0.025945,-0.142516,0.085824,0.025945,0.005936,0.005936,0.091248,0.013383,0.013793,0.002485,0.031167,0.002603,0.067991,0.001019,0.01043,-0.154881,-0.011649,-0.068554,-0.117295,0.006371,-0.07317,0.006371,0.007839,0.004742,0.736811,1.0,0.25772,0.720327,0.689315,-0.264758,0.719634,-0.435814,-0.462686,-0.509434,-0.496367,-0.505885,0.183781,0.415451,-0.010194,-0.028893,0.042266,-0.110213,-0.011988,0.050945,-0.156743,0.06022,,,,,,,,,,,,,,,,,,,,,,-0.651624,0.355465,0.099209,-0.172568,0.65267,0.415099,-0.645809,-0.509434
MinNDVI,-0.149202,-0.172592,-0.087287,-0.149202,-0.316655,-0.240216,0.134923,-0.316658,-0.240216,-0.012408,-0.012408,0.23171,-0.035317,-0.045806,-0.052076,-0.001004,-0.004052,0.239748,-0.036749,-0.006186,0.16684,0.271258,0.206641,0.143724,-0.02037,0.24557,-0.02037,-0.021499,-0.022736,0.714299,0.25772,1.0,0.614818,0.710199,-0.331809,0.614594,-0.535022,-0.232072,-0.325855,-0.342104,-0.298378,0.184883,0.005801,-0.007376,-0.126437,-0.279601,-0.228715,-0.290087,-0.188346,-0.286589,-0.137506,,,,,,,,,,,,,,,,,,,,,,-0.522679,0.814318,-0.09664,0.198502,0.698288,0.005201,-0.551477,-0.325855
GreenCover,-0.114527,-0.120316,-0.035184,-0.114527,-0.171679,-0.167104,-0.027665,-0.171633,-0.167104,-0.004707,-0.004707,0.200709,-0.009726,-0.010006,-0.035422,0.030798,-0.00364,0.188462,-0.023915,0.003694,-0.003942,0.125659,0.08579,0.006785,-0.00986,0.082828,-0.00986,-0.008483,-0.010994,0.917453,0.720327,0.614818,1.0,0.83548,-0.215603,0.9994,-0.584548,-0.714415,-0.605627,-0.594881,-0.594581,0.209555,0.287328,-0.004716,-0.108088,-0.141381,-0.222583,-0.152881,-0.100036,-0.264878,-0.043416,,,,,,,,,,,,,,,,,,,,,,-0.951451,0.731139,0.058331,-0.047157,0.962885,0.286735,-0.921419,-0.605627
VegetationDensity,-0.14462,-0.16246,-0.063734,-0.14462,-0.235115,-0.214143,0.043219,-0.235088,-0.214143,-0.007442,-0.007442,0.197797,-0.013109,-0.022149,-0.045365,0.026029,-0.002083,0.18673,-0.038662,0.00221,0.061942,0.136816,0.11411,0.078455,-0.016713,0.142865,-0.016713,-0.013908,-0.014281,0.971921,0.689315,0.710199,0.83548,1.0,-0.453029,0.834788,-0.774525,-0.279644,-0.480946,-0.486364,-0.457277,0.16443,0.212108,0.000754,-0.104904,-0.159649,-0.219833,-0.199234,-0.115274,-0.225058,-0.097244,,,,,,,,,,,,,,,,,,,,,,-0.710174,0.625947,-0.039467,0.061773,0.843919,0.211561,-0.74075,-0.480946
LandCover_WaterPct,-0.002668,0.023837,0.037522,-0.002668,0.007495,0.001778,-0.065309,0.007485,0.001778,0.002547,0.002547,-0.028112,-0.005724,0.014932,0.029736,-0.006223,-0.001581,-0.02726,0.014347,0.005676,-0.053276,-0.114688,-0.039095,-0.03553,0.006955,-0.064087,0.006955,0.007661,0.002177,-0.405236,-0.264758,-0.331809,-0.215603,-0.453029,1.0,-0.21525,0.094809,-0.182112,-0.209301,-0.16491,-0.245673,-0.064239,0.002427,0.033073,0.01474,0.071628,0.005691,0.071587,0.026891,0.038487,0.028912,,,,,,,,,,,,,,,,,,,,,,-0.091636,-0.141256,0.186735,-0.125467,-0.197,0.002626,-0.01375,-0.209301
LandCover_VegetationPct,-0.114265,-0.120031,-0.035063,-0.114265,-0.17111,-0.16668,-0.028642,-0.171065,-0.16668,-0.004682,-0.004682,0.200722,-0.009661,-0.009956,-0.035328,0.03082,-0.00363,0.188452,-0.023845,0.003698,-0.004959,0.124765,0.084841,0.005938,-0.009833,0.081845,-0.009833,-0.008455,-0.010948,0.916855,0.719634,0.614594,0.9994,0.834788,-0.21525,1.0,-0.583491,-0.712562,-0.605255,-0.594505,-0.594224,0.209034,0.28679,-0.003776,-0.108487,-0.141321,-0.222153,-0.152716,-0.099749,-0.26461,-0.043563,,,,,,,,,,,,,,,,,,,,,,-0.949267,0.73124,0.058901,-0.04795,0.962535,0.286755,-0.920854,-0.605255
