feature,importance,importance_pct
ImperviousSurfaceRatio,0.400414,40.041378
MeanPM25,0.088029,8.802891
LandCover_BareLandPct,0.073849,7.384899
DistToWater,0.046539,4.653878
MeanElevation,0.03621,3.621048
MinNDVI,0.027331,2.733106
MeanNDVI,0.023646,2.364644
LandCover_WaterPct,0.022879,2.287944
DistToSchool,0.020329,2.03291
MeanO3,0.020261,2.026142
DistToHospital,0.017803,1.780324
VegetationDensity,0.017471,1.747131
CoolingDistanceIndex,0.016404,1.64039
HeatVulnerabilityIndex,0.016251,1.625066
DistToBusStop,0.016138,1.613798
MaxNDVI,0.014486,1.448616
MeanNO2,0.014022,1.40215
DistToPark,0.012279,1.227873
DistToMajorRoad,0.011858,1.185817
MeanAQI,0.011838,1.183757
Aspect,0.009945,0.994527
RoadExposureIndex,0.008907,0.890662
MeanSlope,0.008711,0.871143
MeanCO,0.008706,0.870553
VegetationCoolingIndex,0.007775,0.777541
TerrainExposureIndex,0.007766,0.776595
MeanSO2,0.007331,0.733103
GreenToBuiltRatio,0.006859,0.685893
MeanPM10,0.006086,0.608619
LandUse_IndustrialPct,0.004552,0.455236
LandCover_BuiltupPct,0.003613,0.361321
GreenCover,0.001822,0.182229
LandCover_VegetationPct,0.001819,0.181908
RoadDensity,0.001713,0.171296
RoadLength,0.001611,0.161093
GreenSpacePct,0.001029,0.102924
LandUse_RailwayPct,0.000816,0.081636
AvgBuildingFootprint,0.000633,0.063309
LandUse_GreenPct,0.00061,0.061038
BuildingCoveragePct,0.000596,0.05957
RoadIntersectionCount,0.000244,0.024392
BuildingCount,0.000239,0.023864
BuildingDensity,0.000234,0.023438
RoadIntersectionDensity,0.000231,0.023134
LandUse_CommercialPct,4.1e-05,0.004136
LandUse_ResidentialPct,3.5e-05,0.003525
LandUse_InstitutionalPct,2.1e-05,0.002067
BusStopDensity,4e-06,0.000361
BusStopCount,3e-06,0.000299
SchoolCount,3e-06,0.000259
TreeDensity,1e-06,0.00014
LandUse_AgriculturePct,1e-06,0.000127
TreeCount,1e-06,0.000121
HospitalCount,1e-06,0.000111
LandUse_OtherPct,1e-06,6.8e-05
WindSpeed,0.0,0.0
Temperature,0.0,0.0
Temperature_7d,0.0,0.0
Humidity,0.0,0.0
Humidity_7d,0.0,0.0
Rainfall_7d,0.0,0.0
Rainfall,0.0,0.0
SolarRadiation_7d,0.0,0.0
SolarRadiation,0.0,0.0
Pressure_7d,0.0,0.0
Pressure,0.0,0.0
WindSpeed_7d,0.0,0.0
HeatIndex,0.0,0.0
Rainfall_MonthlyMean,0.0,0.0
SolarRadiation_MonthlyMean,0.0,0.0
Pressure_MonthlyMean,0.0,0.0
WindSpeed_MonthlyMean,0.0,0.0
Humidity_MonthlyMean,0.0,0.0
Temperature_MonthlyMean,0.0,0.0
HeatIndex_7d,0.0,0.0
HeatIndex_MonthlyMean,0.0,0.0
